run_id,timestamp_utc,briefing_id,tracking_id,parent_market_name,primary_outcome_to_track,query,source_family,source_name,title,url,published_at,snippet,rank,dedupe_key
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,The New York Times,Michigan U.S. Senate Election 2026: Latest Polls - The New York Times,https://news.google.com/rss/articles/CBMijgFBVV95cUxNZXg4R2RiNm5LQjloa25FZEFhY2tCX2k3U0ExVEJnNzVWeW1Ba21fbkRxYlFFX3M2TDdLeGlQUnViWGNfbFZWdlBiVHhNNUFqZE5ISjhsdlB5dGRPZ3ZaRVlpd24ybWMyX0dXUFFIWUFhbnM0c05DX1JLVmVYT0NFT1pFcHBGYU9hLXAyOXRR?oc=5,"Thu, 02 Jul 2026 17:32:48 GMT",Michigan U.S. Senate Election 2026: Latest Polls The New York Times,1,5c466edba191c0f9
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,The Hill,GOP holds edge in Senate swing-state races: New York Times polls - The Hill,https://news.google.com/rss/articles/CBMikgFBVV95cUxNSElRWnhiNXd5aHcxXzZaZ2UyQ1JfU1BMQmZyeHRyM1pYWkRseEVaVEpJR21OSkFfZmY4ci1fRnJxMzE0SzM3MEc4SHZtVFR3NS1yMFh2U0Y4dHJWOEc2TjVEV09aWWl2WWVxZldkbHBrWEI0ck1VOG5IS1hTWnJTZzRhQ2p1UWZLY1VucTk4RkhwZ9IBlwFBVV95cUxQd25YZXJzVkxZYjByTmJPaTdqdlQzWmJnSlBKeUhlVXJoWlY0NTBRdlFhelJSOGJLcENPelB4QlpRZG9LOHdWNC1oT3ZROFY0MTdPcFNuTHFWejdpVU00Sy1YMG9mNnp2SzJVcnh0VGJrM1NqUU02TzNXVE5SV1ZXUjJGSF9LUzZpaDJCN2Y1WDA0TGJhQXJF?oc=5,"Wed, 01 Jul 2026 17:43:00 GMT",GOP holds edge in Senate swing-state races: New York Times polls The Hill,2,849555b18a6b314f
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,CNN,The 9 Senate seats most likely to flip in 2026 - CNN,https://news.google.com/rss/articles/CBMiekFVX3lxTE1IdDRVak1MclBFai1CNUFxc3g0WVJtVHk2dDI5MExFN2FnWm5tWmpQVWN6MTlULWMzdFhYTG1IcEppalZnU0VDanZxOTRVbnVoUExKYlUtVV9uckZ3RFlTVFZDekxaZjNhMk5MSm8tN0l0bDJhb2xEVnFB?oc=5,"Thu, 02 Jul 2026 10:00:28 GMT",The 9 Senate seats most likely to flip in 2026 CNN,3,dbce409e48c270db
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,eciks.org,Latest polling suggests Republicans maintain advantage in competitive 2026 Senate races - eciks.org,https://news.google.com/rss/articles/CBMidkFVX3lxTE5HSzJuUkhyM0JfZlhvNHR4Uk5jOXQ2bXdWeEp5ODN1WFJSMnB6cC1lX1VCQmtzMmM5a2dHN0R1LWxFSEtNQWg1ZklJTGtxZ0dIVGVISGxOa2JkLXcyLVlDX283M0pJOUg5NVFJYnI0NnV4VWtQVUE?oc=5,"Wed, 01 Jul 2026 16:05:51 GMT",Latest polling suggests Republicans maintain advantage in competitive 2026 Senate races eciks.org,4,df30584944be405e
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,The Guardian,AOC endorses progressive Democrat in closely watched Michigan race for US Senate seat | US midterm elections 2026 - The Guardian,https://news.google.com/rss/articles/CBMihAFBVV95cUxPTHhYNmRKMVdjTFVXQnFjZTBYMW1TWG5sVDNhcDdKR2J3dE81MGZieFdmaE1Fazk2U2xEb0tURTFlYzB1bEI0b1RBcUNZb1dwOGlqYmdobHlPb3hwUWtyQjJKaG9yZU1IZ2NqTVo0VGx2TE12VTQ0WllIa2ZsVzdydmdZVVY?oc=5,"Thu, 02 Jul 2026 15:26:00 GMT",AOC endorses progressive Democrat in closely watched Michigan race for US Senate seat | US midterm elections 2026 The Guardian,5,3dd80e1ad1e31348
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,Silver Bulletin,Who’s ahead on the generic congressional ballot? - Silver Bulletin,https://news.google.com/rss/articles/CBMilwFBVV95cUxQT2JLaXpfb3Vrd3gzTWJtNmtmWnVrVUJBdmFER0JTdlBabkFwdXZ3NFktUGtfeHZuMlhYZC1mdHpvdGNUczR4SEpXWW9FRF92V0otQ2Q2NTBnVzFGa0tmT0V0N2cxa1Y2cUtOeHQ5STNMbWlhQVA0eUtQa0dvR3A4bzdtWkZFOHZvMDdIbklZQ2NoN1lyZ1JV?oc=5,"Fri, 03 Jul 2026 07:00:00 GMT",Who’s ahead on the generic congressional ballot? Silver Bulletin,6,4b2b91cbfc96cda7
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-senate-control-2026,PARENT-senate-control-2026,"Senate control, 2026",Parent market briefing,"Senate control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",gdelt_doc,ERROR,GDELT fetch failed: HTTP Error 429: Too Many Requests,https://api.gdeltproject.org/api/v2/doc/doc?query=Senate+control%2C+2026+-Polymarket+-Kalshi+-Metaculus+-Manifold+-PredictIt&mode=artlist&format=json&maxrecords=6&sort=hybridrel&timespan=7d,,,0,12de29d342b6f30c
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-house-control-2026,PARENT-house-control-2026,"House control, 2026",Parent market briefing,"House control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,The Guardian,"Democrats will have ‘field day’ with Trump inquiries if they win House, legal experts say | US midterm elections 2026 - The Guardian",https://news.google.com/rss/articles/CBMikAFBVV95cUxOb0hUNVVqdXc0ZldteUExVFRabFRJY0pUYy1QUFJFZk9aMFBQelFGU0VXZmFNSm1NWFZQNXhXbnh1UnlpS3AzRDI0LV9BVEtzWDNLa1V4ZDZQTk5KQ3FqLXh1UWJBeEpHZVVWS0l1cnMtc0hTN0x0TkhvZURfNHRucHMxZGNFVDdxTVZEdE1jN2U?oc=5,"Fri, 03 Jul 2026 12:00:00 GMT","Democrats will have ‘field day’ with Trump inquiries if they win House, legal experts say | US midterm elections 2026 The Guardian",1,584b5e50652a0428
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-house-control-2026,PARENT-house-control-2026,"House control, 2026",Parent market briefing,"House control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,Silver Bulletin,Who’s ahead on the generic congressional ballot? - Silver Bulletin,https://news.google.com/rss/articles/CBMilwFBVV95cUxQT2JLaXpfb3Vrd3gzTWJtNmtmWnVrVUJBdmFER0JTdlBabkFwdXZ3NFktUGtfeHZuMlhYZC1mdHpvdGNUczR4SEpXWW9FRF92V0otQ2Q2NTBnVzFGa0tmT0V0N2cxa1Y2cUtOeHQ5STNMbWlhQVA0eUtQa0dvR3A4bzdtWkZFOHZvMDdIbklZQ2NoN1lyZ1JV?oc=5,"Fri, 03 Jul 2026 07:00:00 GMT",Who’s ahead on the generic congressional ballot? Silver Bulletin,2,4b2b91cbfc96cda7
20260706T153423Z,2026-07-06T15:34:23Z,PARENT-house-control-2026,PARENT-house-control-2026,"House control, 2026",Parent market briefing,"House control, 2026 -Polymarket -Kalshi -Metaculus -Manifold -PredictIt",google_news_rss,The Economist,US House of Representatives 2026 forecast - The Economist,https://news.google.com/rss/articles/CBMigwFBVV95cUxQRUVXa291eEFCRVRTdllBZnRYb2tmN2lBeGphUmU5aHlZdkN6WUlwcDQ0SFlTa0lMMi1vZVhZUWVGWW83c18xSzdtMEQ2alYzZWFqem1XVHA3S1cxWW1MYzBqSzduazdIMUkwdjUxQ0lrTkdqQkRWYXltcms1U2ViSmt3aw?oc=5,"Fri, 03 Jul 2026 07:00:00 GMT",US House of Representatives 2026 forecast The Economist,3,4e8db5067d5df251
